brand,size_num,size
Roadster,38,S
Roadster,40,M
Roadster,42,L
Roadster,44,XL
Roadster,46,XXL
Roadster,48,3XL
WROGN,39,S
WROGN,40,M
WROGN,42,L
WROGN,44,XL
WROGN,46,XXL
WROGN,39,S
WROGN,40,M
WROGN,42,L
WROGN,44,XL
WROGN,46,XXL
Dennis Lingo,38,S
Dennis Lingo,40,M
Dennis Lingo,42,L
Dennis Lingo,44,XL
Dennis Lingo,46,XXL
Highlander,39,S
Highlander,40,M
Highlander,42,L
Highlander,44,XL
Highlander,46,XXL
Campus Sutra,38,S
Campus Sutra,40,M
Campus Sutra,42,L
Campus Sutra,44,XL
The Indian Garage,39,S
The Indian Garage,40,M
The Indian Garage,42,L
The Indian Garage,44,XL
The Indian Garage,46,XXL
INVICTUS,38,S
INVICTUS,39,M
INVICTUS,40,L
INVICTUS,42,XL
INVICTUS,44,XXL
The Bear House,38,S
The Bear House,40,M
The Bear House,42,L
The Bear House,44,XL
The Bear House,46,XXL
United Colors of Benetto,38,S
United Colors of Benetto,40,M
United Colors of Benetto,42,L
United Colors of Benetto,44,XL
US POLO,38,S
US POLO,40,M
US POLO,42,L
US POLO,44,XL
US POLO,46,XXL
LOCOMOTIVE,39,S
LOCOMOTIVE,40,M
LOCOMOTIVE,42,L
LOCOMOTIVE,44,XL
HERE & NOW,38,S
HERE & NOW,40,M
HERE & NOW,42,L
HERE & NOW,44,XL
HERE & NOW,46,XXL
Mast & Harbour,38,S
Mast & Harbour,40,M
Mast & Harbour,42,L
Mast & Harbour,44,XL
Peter England,38,XS
Peter England,39,S
Peter England,40,M
Peter England,42,L
Peter England,44,XL
Peter England,46,XXL
Arrow Sport,38,S
Arrow Sport,39,M
Arrow Sport,40,L
Arrow Sport,42,XL
Arrow Sport,44,XXL
Wild West,38,S
Wild West,40,M
Wild West,42,L
Wild West,44,XL
Wild West,46,XXL
Van Heusen Denim Labs,38,XS
Van Heusen Denim Labs,39,S
Van Heusen Denim Labs,40,M
Van Heusen Denim Labs,42,L
Van Heusen Denim Labs,44,XL
Van Heusen Denim Labs,46,XXL
Bene Kleed,38,S
Bene Kleed,39,M
Bene Kleed,40,L
Bene Kleed,42,XL
Bene Kleed,44,XXL
R&B,38,S
R&B,40,M
R&B,42,L
R&B,44,XL
R&B,46,XXL
JANISH,36,XS
JANISH,38,S
JANISH,40,M
JANISH,42,L
JANISH,44,XL
H&M,36,XS
H&M,38,S
H&M,40,M
H&M,42,L
H&M,44,XL
Van Heusen Sport,38,XS
Van Heusen Sport,39,S
Van Heusen Sport,40,M
Van Heusen Sport,42,L
Ether,38,S
Ether,40,M
Ether,42,L
Ether,44,XL
Nautica,39,S
Nautica,40,M
Nautica,42,L
Nautica,44,XL
Nautica,46,XXL
IVOC,38,XS
IVOC,39,S
IVOC,40,M
IVOC,42,L
IVOC,44,XL
V Mart,38,S
V Mart,40,M
V Mart,42,L
V Mart,44,XL
V Mart,46,XXL
Harvard,38,S
Harvard,40,M
Harvard,42,L
Harvard,44,XL
Allen Solly,38,XS
Allen Solly,39,S
Allen Solly,40,M
Allen Solly,42,L
Allen Solly,44,XL
Allen Solly,46,XXL
Tisbtane,38,S
Tisbtane,40,M
Tisbtane,42,L
Tisbtane,44,XL
Tisbtane,46,XXL
Levis,38,S
Levis,40,M
Levis,42,L
Levis,44,XL
Sztori,46,XXL
Hancock,38,S
Hancock,40,M
Hancock,42,L
Hancock,44,XL
Park Avenue,39,S
Park Avenue,40,M
Park Avenue,42,L
Park Avenue,44,XL
Park Avenue,46,XXL
Black Berry,38,S
Black Berry,39,M
Black Berry,40,L
Black Berry,42,XL
Black Berry,44,XXL
Forever,38,XS
Forever,39,S
Forever,40,M
Forever,41,L
Forever,42,XL
Forever,43,XXL
Tommy Hilfiger,38,XS
Tommy Hilfiger,39,S
Tommy Hilfiger,40,M
Tommy Hilfiger,42,L
Tommy Hilfiger,46,XL
Tommy Hilfiger,48,XXL
Raymond,39,S
Raymond,40,M
Raymond,42,L
Raymond,44,XL
Raymond,46,XXL
Shaftesbury London,36,XS
Shaftesbury London,38,S
Shaftesbury London,40,M
Shaftesbury London,42,L
Shaftesbury London,44,XL
Shaftesbury London,46,XXL
Dennison,38,S
Dennison,40,M
Dennison,42,L
Dennison,44,XL
Sojanya,36,XS
Sojanya,38,S
Sojanya,40,M
Sojanya,42,L
Sojanya,44,XL
SELECTED,38,S
SELECTED,40,M
SELECTED,42,L
SELECTED,44,XL
SELECTED,46,XXL
English Navy,38,S
English Navy,40,M
English Navy,42,L
English Navy,44,XL
Nirvaan,38,S
Nirvaan,40,M
Nirvaan,42,L
Nirvaan,44,XL
Code By Lifestyle,39,S
Code By Lifestyle,40,M
Code By Lifestyle,42,L
Code By Lifestyle,44,XL
Code By Lifestyle,46,XXL
Identiti,38,S
Identiti,40,M
Identiti,42,L
Identiti,44,XL
Identiti,46,XXL
Harvard,38,S
Harvard,40,M
Harvard,42,L
Harvard,44,XL
Soratia,36,S
Soratia,38,M
Soratia,40,L
Soratia,42,XL
Soratia,44,XXL
Parx,38,S
Parx,39,M
Parx,40,L
Parx,42,XL
Green Fibre,38,S
Green Fibre,39,M
Green Fibre,40,L
Green Fibre,42,XL
Green Fibre,44,XXL
Basics,38,XS
Basics,39,S
Basics,40,M
Basics,42,L
Basics,44,XL
Basics,46,XXL
Color Plus,39,S
Color Plus,40,M
Color Plus,42,L
Color Plus,44,XL
AD by Aravimdh,39,S
AD by Aravimdh,40,M
AD by Aravimdh,42,L
AD by Aravimdh,44,XL
Arrow Newyork,38,XS
Arrow Newyork,39,S
Arrow Newyork,40,M
Arrow Newyork,42,L
Arrow Newyork,44,XL
Arrow Newyork,46,XXL
Andamen,39,S
Andamen,40,M
Andamen,42,L
Andamen,44,XL
Andamen,46,XXL
American Eagle,35,XS
American Eagle,38,S
American Eagle,39,M
American Eagle,40,L
American Eagle,42,XL
American Eagle,44,XXL
abof,40,S
abof,42,M
abof,44,L
abof,47,XL
Antony Morato,35,XXS
Antony Morato,37,XS
Antony Morato,39,S
Antony Morato,41,M
Antony Morato,43,L
Anuok,38,S
Anuok,40,M
Anuok,42,L
Anuok,44,XL
Anuok,46,XXL
Amrut Varsha Creation,42,M
Amrut Varsha Creation,44,L
Amrut Varsha Creation,46,XL
Amrut Varsha Creation,48,XXL
ANFOLD,35,XS
ANFOLD,38,S
ANFOLD,42,M
ANFOLD,44,L
ANFOLD,45,XL
ANFOLD,47,XXL
American Bull,39,S
American Bull,40,M
American Bull,42,L
American Bull,44,XL
American Bull,46,XXL
Allen Solly Tribe,38,S
